region,year,mig_total,mig_youth,pop_total,pop_youth,총_순이동률,청년_순이동률,bdg_관광,bdg_농업,bdg_일자리,bdg_복지,bdg_정주여건,bdg_기타,ep_관광,ep_농업,ep_일자리,ep_복지,ep_정주여건,ep_기타,treated,재정자립도,고령인구,고령화율,사업체수,log사업체수,행정유형,행정유형2,ep_A_청년정착,ep_B_생산유통,ep_C_어메니티,유형
강원양양군,2024,53.0,-145.0,27489.0,4002.0,0.1928043944850667,-3.6231884057971016,48.0,0.0,0.0,1.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,1,10.06,9704.0,35.30139328458656,1707.0,7.442492722794441,군,군,0.0,0.0,0.0,소형농촌형
강원인제군,2019,-448.0,-185.0,31672.0,8110.0,-1.414498610760293,-2.281134401972873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7.35,6194.0,19.55670623894923,1265.0,7.142827401161621,군,군,0.0,0.0,0.0,소형농촌형
강원인제군,2020,34.0,-15.0,31694.0,7969.0,0.1072758250773017,-0.1882293888819174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.99,6530.0,20.60326875749353,1144.0,7.042286171939743,군,군,0.0,0.0,0.0,소형농촌형
강원인제군,2021,608.0,385.0,32165.0,8190.0,1.890253381004197,4.700854700854701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.95,6899.0,21.448779729519664,1057.0,6.963189985870238,군,군,0.0,0.0,0.0,소형농촌형
강원인제군,2022,169.0,46.0,32206.0,7974.0,0.5247469415636837,0.5768748432405317,0.0,10.5,7.5,6.7,8.5,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1,8.03,7269.0,22.57032851021549,1180.0,7.07326971745971,군,군,0.0,0.0,0.0,소형농촌형
강원인제군,2023,-98.0,-55.0,32020.0,7786.0,-0.3060587133041849,-0.7063960955561264,2.73,20.2,32.8127,20.41,13.5,0.0,0.194,3.9012,28.5362,0.198,1.3798,0.0,1,8.14,7627.0,23.819487820112432,1208.0,7.0967213784947605,군,군,3.90116,0.0,0.0,소형농촌형
강원인제군,2024,-413.0,-198.0,31535.0,7499.0,-1.3096559378468369,-2.640352046939592,2.536,22.9717,25.2825,20.212,23.4032,0.0,0.0,17.0518,24.0511,1.486,11.3144,0.0,1,8.84,7993.0,25.346440462977643,1187.0,7.079184394609668,군,군,17.0518297,0.0,0.0,소형농촌형
강원정선군,2019,-206.0,-270.0,37271.0,6326.0,-0.5527085401518607,-4.268099905153335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,22.35,9837.0,26.39317431783424,1490.0,7.306531398939505,군,군,0.0,0.0,0.0,대형도시형
강원정선군,2020,-153.0,-356.0,36870.0,5898.0,-0.4149715215622457,-6.035944387928112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,21.51,10317.0,27.982099267697315,1231.0,7.115582126184454,군,군,0.0,0.0,0.0,대형도시형
강원정선군,2021,-347.0,-421.0,35675.0,5380.0,-0.9726699369306236,-7.825278810408921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16.24,10423.0,29.21653819201121,1229.0,7.113956109566034,군,군,0.0,0.0,0.0,대형도시형
강원정선군,2022,-290.0,-283.0,34931.0,4988.0,-0.8302081245884744,-5.673616680032077,8.3333,0.0,0.0,0.0,0.0,0.0,2.3333,0.0,0.0,0.0,0.0,0.0,1,13.22,10846.0,31.049783859608944,1267.0,7.144407180321139,군,군,0.0,0.0,0.0,대형도시형
강원정선군,2023,-389.0,-263.0,34202.0,4607.0,-1.137360388281387,-5.708704145864988,15.0,0.0,0.0,0.0,0.0,0.0,14.9998,0.0,0.0,0.0,0.0,0.0,1,12.34,11250.0,32.89281328577276,1330.0,7.1929342212158,군,군,0.0,0.0,0.0,대형도시형
강원정선군,2024,-331.0,-226.0,33515.0,4316.0,-0.9876174847083397,-5.236329935125116,10.3326,0.0,0.0,0.0,0.0,0.0,7.4936,0.0,0.0,0.0,0.0,0.0,1,15.42,11691.0,34.882888258988515,1378.0,7.228388451573604,군,군,0.0,0.0,0.0,대형도시형
강원철원군,2019,-768.0,-624.0,45584.0,11014.0,-1.684801684801685,-5.665516615216997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.33,9830.0,21.564584064584064,1403.0,7.246368080102461,군,군,0.0,0.0,0.0,소형농촌형
강원철원군,2020,-810.0,-495.0,44699.0,10533.0,-1.8121210765341509,-4.699515807462261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.53,10171.0,22.75442403633191,1266.0,7.143617602704121,군,군,0.0,0.0,0.0,소형농촌형
강원철원군,2021,-1010.0,-655.0,43340.0,9738.0,-2.330410706045224,-6.726227151365784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7.24,10318.0,23.80710659898477,1310.0,7.177782416195197,군,군,0.0,0.0,0.0,소형농촌형
강원철원군,2022,-796.0,-444.0,42256.0,9211.0,-1.883756152972359,-4.820323526218652,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.3323,0.0,1,8.59,10657.0,25.22008708822416,1349.0,7.207118856207756,군,군,0.0,0.0,0.0,소형농촌형
강원철원군,2023,-602.0,-297.0,41448.0,8791.0,-1.4524223122949236,-3.37845523831191,0.0,0.0,0.0,0.0,2.055,0.0,0.0,0.0,0.0,0.0,1.4934,0.0,1,9.93,11093.0,26.763655664929548,1425.0,7.261927092702751,군,군,0.0,0.0,0.0,소형농촌형
강원철원군,2024,-727.0,-465.0,40497.0,8290.0,-1.7951947057806752,-5.609167671893848,0.0,0.0,0.0,0.0,2.131,0.0,0.0,0.0,0.0,0.0,1.7096,0.0,1,12.1,11487.0,28.36506407882065,1501.0,7.313886831633462,군,군,0.0,0.0,0.0,소형농촌형
강원평창군,2019,-286.0,-378.0,42106.0,6895.0,-0.6792381133330166,-5.482233502538072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.08,11200.0,26.599534508146107,1810.0,7.501082124259871,군,군,0.0,0.0,0.0,소형농촌형
강원평창군,2020,-136.0,-352.0,41681.0,6513.0,-0.326287757011588,-5.4045754644557045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11.47,11831.0,28.38463568532425,1600.0,7.377758908227872,군,군,0.0,0.0,0.0,소형농촌형
강원평창군,2021,-146.0,-342.0,40996.0,6064.0,-0.3561323055907893,-5.639841688654354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11.19,12293.0,29.985852278271054,1779.0,7.483806687665835,군,군,0.0,0.0,0.0,소형농촌형
강원평창군,2022,497.0,-148.0,40990.0,5821.0,1.2124908514271773,-2.542518467617248,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11.04,12896.0,31.46133203220297,1776.0,7.4821189235521155,군,군,0.0,0.0,0.0,소형농촌형
